bm23_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
676,28.54826606348717277228,28.55073565090742704342,28.55305246405694319378,17,0.01403899999999946857,0.05853400000000164027,7,7.16964600000028440263,0.03606399999999609918,
677,28.55226221137948883211,28.55101064424701462485,28.55465480799310995508,17,0.01264399999999987756,0.04891599999999840520,7,7.31864399999994930113,0.04433199999999715146,
678,28.55416197984654758102,28.55176575800525640147,28.55560948417280542344,13,0.01151000000000035328,0.05543199999999970373,4,6.39842599999974481761,0.03018799999999544070,
679,28.55559847942428675083,28.55440985437684631165,28.55649978332229110833,16,0.01361200000000017951,0.05063900000000032264,12,7.42344499999990148353,0.05827700000000390901,
680,28.55586168416904868650,28.55538993514351275849,28.55743176692924834015,14,0.01359200000000004849,0.05764800000000036562,5,8.06624800000008690404,0.04724800000001039280,
681,28.55711393754019766789,28.55636061807162207060,28.55823469001432002301,17,0.01593499999999981043,0.05561399999999849797,7,8.81731200000012904638,0.04984299999999564079,
682,28.55816618420341868045,28.55636061807162207060,28.55893754241119353310,14,0.01100700000000021106,0.05136099999999999000,5,9.19119199999977354310,0.01665000000001271019,
683,28.55847245730165440136,28.55636061807162207060,28.55906240863099654348,15,0.01498199999999982879,0.06029499999999998749,20,10.37567000000035477569,0.01481700000000785167,
684,28.55864923237867358807,28.55840354401599157086,28.55994326774487035436,16,0.01942099999999946647,0.06055800000000033378,3,9.93287499999996725819,0.05075800000000185719,
685,28.55994194829844801120,28.55842916306754375455,28.56033738188952497694,17,0.01353100000000040382,0.06271200000000121122,5,8.94710600000007616472,0.05017899999999997362,
686,28.55997191940295820700,28.55872611371990643647,28.56046327368051507278,16,0.01230200000000003513,0.05296799999999990405,2,7.94537999999965904863,0.04040299999999774627,
687,28.56020087220687031504,28.55959906255441538292,28.56065581332043379348,9,0.02294799999999952433,0.04821700000000106456,3,8.53351800000018556602,0.04258399999999085139,
688,28.56079431332255325060,28.56103540390634876189,28.56187738489235172779,13,0.01324500000000039535,0.09329600000000226601,4,9.20532599999978629057,0.04948300000000926957,
689,28.56090725959592546701,28.56271702831108783016,28.56355765564854820582,13,0.01069899999999979201,0.06895800000000207319,8,7.25220600000011472730,0.03542399999999190641,
690,28.56360067989681894574,28.56427735491890729236,28.56543694715574233101,12,0.01080900000000006855,0.05764600000000186242,2,7.64631899999994857353,0.03403099999999881220,
691,28.56501864782424959799,28.56476857164213711826,28.56610420036231090535,15,0.01294000000000039563,0.06204500000000123805,3,7.58892400000013367389,0.03272400000000175169,
692,28.56513563585464865469,28.56479816240525337889,28.56677763310706907873,15,0.01326999999999944890,0.05282100000000156115,4,7.37650900000016918057,0.03351800000000082491,
693,28.56633659175982131728,28.56598421814662813745,28.56773730485301143744,15,0.01343600000000044759,0.06747299999999967213,4,7.77635399999962828588,0.04675600000000201817,
694,28.56676653588574055220,28.56761511921133234182,28.56860044411652665985,18,0.01258200000000009311,0.05851200000000034152,6,10.02956900000026507769,0.04571899999999118336,
695,28.56874164514833225326,28.56796844733819895623,28.56991800299077866043,16,0.01425399999999932277,0.04656599999999855299,4,8.68089400000008026836,0.03845400000000154250,
696,28.56920516393030240465,28.57029602951894986518,28.57170977147126933460,18,0.02998000000000011767,0.04889400000000065916,6,8.95033100000000558794,0.03304300000000637283,
697,28.57150898756836454595,28.57170559271620646768,28.57268415282855400505,14,0.01224100000000039046,0.05840099999999992519,7,8.18430699999998978456,0.04104399999999941429,
698,28.57225398010263006654,28.57285970514225326156,28.57351260406246851176,16,0.01460400000000028342,0.05326000000000163936,7,9.20410099999980957364,0.05123799999999789634,
699,28.57292700484197922606,28.57397051187699688057,28.57414314173374592087,16,0.01404799999999983839,0.06487600000000171008,9,10.36332099999981437577,0.06587000000000386990,
700,28.57382165548305508196,28.57403960438276513401,28.57463265564535959129,14,0.01286299999999940269,0.06581100000000006389,9,9.36711100000002261368,0.04875599999999735701,
701,28.57394241647270760609,28.57407946755862226951,28.57480839826684615446,14,0.01590800000000047731,0.06173599999999979104,5,9.86777200000005905167,0.04447700000000054388,
702,28.57445425992185406017,28.57420913017309516135,28.57492843768044110675,8,0.00964000000000009294,0.03953900000000132309,17,8.89056600000003527384,0.04676100000000360524,
703,28.57472120822198746737,28.57420913017309516135,28.57498931101322270365,12,0.01330100000000022931,0.04580400000000039995,15,8.60030400000005101901,0.01621799999999495867,
704,28.57490450453627062188,28.57585531564409109251,28.57658106721943624962,13,0.01126699999999924984,0.04272800000000032128,3,9.06207700000004479080,0.04730700000000354066,
705,28.57602815222806924567,28.57663825207323071709,28.57749137494381130864,19,0.01814300000000024227,0.04270500000000154728,10,9.76897499999995488906,0.06831200000000592354,
706,28.57711404540137323238,28.57698652645457570998,28.57858253820464611294,17,0.01770500000000030383,0.05890499999999931902,3,8.87592600000016318518,0.05026999999999759439,
707,28.57831356909971276536,28.57807081017608652473,28.58030957787102011025,17,0.01575300000000012801,0.05416500000000112891,7,9.78024699999969016062,0.02976800000000423552,
708,28.58067643242726418862,28.58020672003021900309,28.58308255571180112042,20,0.02410499999999959897,0.05597699999999861120,3,9.95764600000029531657,0.04091300000000330783,
709,28.58182365134282321151,28.58067019572085243340,28.58493504062937518029,21,0.02074900000000035050,0.06485800000000097043,9,8.46437199999991207733,0.04790500000000008640,
710,28.58433563761613527276,28.58089061438005984428,28.58609721337027664845,14,0.01504100000000008208,0.05562100000000214095,17,7.40888799999993352685,0.03893399999999758165,
711,28.58510953859634540208,28.58254124342490243293,28.58690831431562173748,17,0.01390199999999985891,0.05229800000000039972,6,7.16053000000010797521,0.05915099999999995362,
712,28.58535234340495989613,28.58311123404532949621,28.58748867138945470856,12,0.01156399999999990769,0.06110499999999774445,9,7.63450899999998000567,0.05145600000000172258,
713,28.58744861659614855398,28.58467122826719375439,28.58814440024017500264,9,0.00908299999999950813,0.07682400000000200180,11,9.36072999999987587216,0.06361800000000528144,
714,28.58778113831202460915,28.58467122826719020168,28.58855567989571966336,10,0.01188300000000008794,0.04664000000000001478,8,8.92986000000018975697,0.02692499999999142801,
715,28.58796514259880083841,28.58493350142699895855,28.58889060044596419630,10,0.00869400000000020157,0.04662100000000179989,7,8.67794299999968643533,0.03428599999999448755,
716,28.58805521726619147671,28.58500788971651473958,28.58898145719138028653,10,0.00971900000000047726,0.05599300000000084765,10,6.84946700000000419095,0.03134800000000836917,
717,28.58881628879338876459,28.58618451263881610203,28.58940415194845385827,10,0.01117999999999952365,0.07424899999999823308,9,8.39826900000025489135,0.04074899999999104239,
718,28.58936322542864516549,28.58773251923329894453,28.58977041384356709841,11,0.01316499999999987125,0.05989599999999839497,12,8.47017599999981030123,0.05474499999999693500,
719,28.58974115411754368665,28.58788837365982971050,28.59022580595604523523,12,0.01458500000000029218,0.06523199999999818033,6,10.03950900000018009450,0.03338099999999144529,
720,28.58997544636215337732,28.58885455779487116956,28.59213320209426001384,12,0.01879499999999989512,0.05376000000000047407,4,11.70930399999997462146,0.04478999999999189185,
721,28.59164219251854532899,28.58943904385830947490,28.59383844883738845510,17,0.01616899999999965587,0.07357999999999975671,6,9.54292799999984708847,0.03594799999999054307,
722,28.59352847504299788284,28.59203096160836921058,28.59482276193906002959,14,0.01145800000000019025,0.06548199999999937404,7,9.01076300000022456516,0.03615999999999530701,
723,28.59506419471285454392,28.59508778934505102143,28.59627207063353537819,10,0.01056599999999985329,0.05697099999999721831,8,8.92511100000001533772,0.05472400000000732234,
724,28.59672322320691151276,28.59552435246952484249,28.59701835783915413458,13,0.01210700000000031196,0.04295500000000274099,3,9.88091099999974176171,0.03825899999999649026,
725,28.59690906540120280965,28.59598701569663603550,28.59711419703483770149,9,0.01304399999999983351,0.04770399999999952456,3,9.51697000000012849341,0.04767199999999149895,
726,28.59711732248112525667,28.59665865445519017385,28.59761942757671704385,10,0.00997700000000012466,0.05978499999999797865,7,9.45078000000012252713,0.04893799999999259853,
727,28.59748884620423581282,28.59844182605400320085,28.59899339465241396852,11,0.01175800000000037926,0.04143600000000091654,3,9.06660999999985506292,0.05398999999999887223,
728,28.59814395421299693112,28.59901072348306172444,28.60073342084529812723,18,0.01509599999999977626,0.07595299999999838292,8,10.74103599999989455682,0.06376900000000773616,
729,28.59955755850199565771,28.60009658234851315228,28.60113582033713441888,17,0.01564199999999971169,0.07510200000000111231,4,11.17199000000027808710,0.04777800000000809177,
730,28.60072249758438189815,28.60162147798223841733,28.60250589247170793783,19,0.01543000000000027683,0.07943300000000164118,3,11.46918499999992491212,0.06334699999999315878,
731,28.60152728717584480478,28.60182995372924708022,28.60307050081389945717,16,0.02309399999999950381,0.05260399999999876286,6,9.13660299999992275843,0.05039000000000726232,
732,28.60158426440092327425,28.60300870384951110736,28.60411652882374156093,16,0.01682200000000033668,0.05895999999999901320,2,10.75369600000021819142,0.05392200000000002547,
733,28.60241838259124591559,28.60399941297817605346,28.60493786055382514633,16,0.01381000000000032202,0.07701899999999994861,13,9.97447099999999409192,0.06538700000000119417,
734,28.60242289331264586849,28.60441790611406887024,28.60515284269193259092,11,0.00953699999999990666,0.03625300000000208911,12,8.14195099999960802961,0.04927000000000703039,
735,28.60242289331264586849,28.60453688170289154868,28.60528483023942314389,15,0.01647599999999993514,0.02831699999999770512,2,10.90009900000040943269,0.05261199999999632837,
736,28.60440502681982977151,28.60538883778703578287,28.60574036187396274045,16,0.01881700000000030570,0.07064700000000101454,16,10.64556699999957345426,0.05850199999999006195,
737,28.60523259407523966047,28.60547234656531756514,28.60589681523584459910,13,0.01147899999999957288,0.06433499999999980901,4,9.24642700000003969762,0.02772699999999872489,
738,28.60531168034492921493,28.60573971391225711614,28.60636956357210891611,12,0.01055000000000028137,0.04761599999999788224,3,9.06189500000027692295,0.03343700000000637829,
739,28.60675510738229476715,28.60615799007038617674,28.60705801958332372692,10,0.01206499999999977035,0.08292799999999900251,5,10.65825700000004871981,0.05425699999999267220,
740,28.60696034530084119751,28.60625904876791025799,28.60721349353128672988,13,0.01428899999999977410,0.06745899999999949159,7,8.87452600000005986658,0.03049099999999782540,
741,28.60728941215724674407,28.60934511139828373416,28.60959537998356339017,14,0.01173200000000029775,0.04548300000000082832,10,10.29120799999964219751,0.05668300000000670025,
742,28.60919333492819305320,28.61282271292783718764,28.61295786420766873448,15,0.01541299999999967696,0.04471699999999856345,3,10.92374199999994743848,0.03272300000000427644,
743,28.61264513144104881803,28.61349716630617123769,28.61386804272401462867,9,0.00725900000000034851,0.03686000000000078103,5,9.09355100000038873986,0.02463099999999940337,
744,28.61356009838279135238,28.61391292008156739257,28.61481846094564929217,9,0.01118099999999966343,0.03649100000000160549,3,9.61524299999973663944,0.04886400000000890032,
745,28.61436706708734689641,28.61443307198689112170,28.61543459729797689306,11,0.01038300000000003109,0.04880800000000107275,10,8.70762000000013358658,0.05324499999998977273,
746,28.61482181641082433998,28.61470706153344778500,28.61578614453212310309,10,0.01374199999999969890,0.04950499999999991019,11,9.24304399999982706504,0.04862700000001041190,
747,28.61600380326931514219,28.61470706153344778500,28.61621964040776333604,10,0.01474800000000087152,0.05267900000000125260,11,7.24953700000014578109,0.01688900000000614909,
748,28.61623882602177104673,28.61524929673323924817,28.61644624235516332078,12,0.01279399999999952797,0.06337999999999865963,3,11.66219899999987319461,0.05116999999999904958,
749,28.61631935043824626064,28.61723458736990721718,28.61728901579456874060,13,0.01382700000000003371,0.04986800000000002342,5,10.84820500000023457687,0.06780200000000036198,
750,28.61698238653082526639,28.61757059262694724566,28.61782571082472514945,13,0.01497300000000034714,0.04763999999999768420,6,11.70802499999990686774,0.04260599999999215015,
751,28.61748758829678607185,28.61792931951888618869,28.61804564020891916698,14,0.01196500000000000341,0.05745399999999989404,10,9.00592199999982767622,0.05405199999999865668,
752,28.61767761898302708801,28.61936469774567015634,28.61961419063972655863,10,0.01114499999999996049,0.06733499999999992269,3,11.59544700000014927355,0.06883599999999034935,
753,28.61781647922840221554,28.62066435969422784069,28.62101583592925990729,18,0.01387099999999996669,0.06065200000000103842,7,11.61598199999980352004,0.06054800000001137050,
754,28.62073820652780042906,28.62431016473786371535,28.62461787716454253427,16,0.01514199999999998880,0.06672400000000067166,2,9.82382099999995261896,0.05688500000000829004,
755,28.62429579468369666984,28.62601762512164071950,28.62631076326015744371,17,0.01670999999999978058,0.07428600000000074033,15,9.68745800000033341348,0.05975500000000977252,
