d10200_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
35,12425.64697413099929690361,12425.58300545183374197222,12425.64697413099929690361,138,0.48401499999999941792,1.53028499999999212378,0,0.00000000000000000000,0.00000000000000000000,
36,12425.64699525785545120016,12425.58300545183374197222,12425.64699525785545120016,137,0.48917600000000049931,1.54912600000000111322,0,0.00000000000000000000,0.00000000000000000000,
37,12425.64700889440973696765,12425.58300545183374197222,12425.64700889440973696765,140,0.49755799999999972272,1.41449700000001143962,0,0.00000000000000000000,0.00000000000000000000,
38,12425.64702630846659303643,12425.58300545183374197222,12425.64702630846659303643,134,0.50893300000000074590,1.76353100000000040382,0,0.00000000000000000000,0.00000000000000000000,
39,12425.64704630246706074104,12425.58300545183374197222,12425.64704630246706074104,139,0.53784899999999957743,1.58799999999999386091,0,0.00000000000000000000,0.00000000000000000000,
40,12425.64705614332888217177,12425.58300545183374197222,12425.64705614332888217177,145,0.55019599999999968531,1.59080300000002239358,0,0.00000000000000000000,0.00000000000000000000,
41,12425.64708212753794214223,12425.58300545183374197222,12425.64708212753794214223,139,0.56717300000000037130,109.36528600000002597881,0,0.00000000000000000000,0.00000000000000000000,
42,12425.64710829535761149600,12425.58300545183374197222,12425.64710829535761149600,144,0.58393399999999928696,103.10772499999995943654,0,0.00000000000000000000,0.00000000000000000000,
43,12425.64713929137724335305,12425.58300545183374197222,12425.64713929137724335305,146,0.58663000000000131706,2.33439899999996214319,0,0.00000000000000000000,0.00000000000000000000,
44,12425.64719403867820801679,12425.58300545183374197222,12425.64719403867820801679,143,0.63214799999999904401,1.76467399999995677717,0,0.00000000000000000000,0.00000000000000000000,
45,12425.64728228728199610487,12425.58300545183374197222,12425.64728228728199610487,140,0.62382200000000054274,123.88918799999993325400,0,0.00000000000000000000,0.00000000000000000000,
46,12425.64734277401475992519,12425.58300545183374197222,12425.64734277401475992519,138,0.64071599999999939712,2.09871100000009391806,0,0.00000000000000000000,0.00000000000000000000,
47,12425.64738392344042949844,12425.58300545183374197222,12425.64738392344042949844,144,0.68280099999999954719,2.34717799999998533167,0,0.00000000000000000000,0.00000000000000000000,
48,12425.64742819632920145523,12425.58300545183374197222,12425.64742819632920145523,141,0.67721099999999978536,1.94779700000003686000,0,0.00000000000000000000,0.00000000000000000000,
49,12425.64747639928100397810,12425.58300545183374197222,12425.64747639928100397810,140,0.67146600000000056241,1.82949799999994411337,0,0.00000000000000000000,0.00000000000000000000,
50,12425.64764093286066781729,12425.58300545183374197222,12425.64764093286066781729,139,0.71674700000000157729,2.13137200000005577749,0,0.00000000000000000000,0.00000000000000000000,
51,12425.64768634059510077350,12425.58300545183374197222,12425.64768634059510077350,137,0.71821399999999968600,2.37574800000004415779,0,0.00000000000000000000,0.00000000000000000000,
52,12425.64772070541039283853,12425.58300545183374197222,12425.64772070541039283853,136,0.72226500000000015689,175.91039699999998902058,0,0.00000000000000000000,0.00000000000000000000,
53,12425.64773575719482323620,12425.58300545183374197222,12425.64773575719482323620,140,0.75683300000000031105,2.39002600000003440073,0,0.00000000000000000000,0.00000000000000000000,
54,12425.64774886346822313499,12425.58300545183374197222,12425.64774886346822313499,140,0.74815199999999748570,2.31416600000000016735,0,0.00000000000000000000,0.00000000000000000000,
55,12425.64776135970896575600,12425.58300545183374197222,12425.64776135970896575600,147,0.78835000000000121645,2.65907600000002730667,0,0.00000000000000000000,0.00000000000000000000,
56,12425.64777733404662285466,12425.58300545183374197222,12425.64777733404662285466,140,0.81003899999999973147,2.72113200000001143053,0,0.00000000000000000000,0.00000000000000000000,
57,12425.64778679123446636368,12425.58300545183374197222,12425.64778679123446636368,139,0.81966099999999997294,4.33956999999998060957,0,0.00000000000000000000,0.00000000000000000000,
58,12425.64779494103277102113,12425.58300545183374197222,12425.64779494103277102113,142,0.82620000000000004547,2.15998600000000351429,0,0.00000000000000000000,0.00000000000000000000,
59,12425.64779591355727461632,12425.58300545183374197222,12425.64779591355727461632,142,0.82711499999999915644,181.83882200000005013862,0,0.00000000000000000000,0.00000000000000000000,
60,12425.64781673470133682713,12425.58300545183374197222,12425.64781673470133682713,141,0.86851100000000158730,2.57926299999996899714,0,0.00000000000000000000,0.00000000000000000000,
61,12425.64781761739686771762,12425.58300545183374197222,12425.64781761739686771762,142,0.88546900000000050568,207.14832299999989118078,0,0.00000000000000000000,0.00000000000000000000,
62,12425.64784530847464338876,12425.58300545183374197222,12425.64784530847464338876,140,0.89019999999999654960,3.02519699999993463280,0,0.00000000000000000000,0.00000000000000000000,
63,12425.64785204665349738207,12425.58300545183374197222,12425.64785204665349738207,141,0.89034300000000143882,2.82491200000004027970,0,0.00000000000000000000,0.00000000000000000000,
64,12425.64786172951789922081,12425.58300545183374197222,12425.64786172951789922081,138,0.90893499999999960437,228.19991800000002513116,0,0.00000000000000000000,0.00000000000000000000,
65,12425.64786684213140688371,12425.58300545183374197222,12425.64786684213140688371,147,0.99696799999999896613,3.79306299999984730675,0,0.00000000000000000000,0.00000000000000000000,
66,12425.64786867815564619377,12425.58300545183374197222,12425.64786867815564619377,137,0.94264700000000090085,185.24683600000003025343,0,0.00000000000000000000,0.00000000000000000000,
67,12425.64787147350034501869,12425.58300545183374197222,12425.64787147350034501869,141,0.97313400000000171985,204.87691600000016478589,0,0.00000000000000000000,0.00000000000000000000,
68,12425.64787840884673641995,12425.58300545183374197222,12425.64787840884673641995,143,0.98972600000000099385,3.09024100000010548683,0,0.00000000000000000000,0.00000000000000000000,
69,12425.64786987420484365430,12425.58300545183374197222,12425.64786987420484365430,145,1.04036299999999926058,412.50239899999996850966,0,0.00000000000000000000,0.00000000000000000000,
70,12425.64788446805323474109,12425.58300545183374197222,12425.64788446805323474109,144,1.03717100000000073123,4.59694400000034875120,0,0.00000000000000000000,0.00000000000000000000,
71,12425.64788605925059528090,12425.58300545183374197222,12425.64788605925059528090,141,1.01984299999999450392,235.80684599999995043618,0,0.00000000000000000000,0.00000000000000000000,
