mas284_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
144,87158.05733894300647079945,87160.73670067556668072939,87160.73670067558123264462,37,0.09058800000000033492,0.16846000000000138641,62,34.92566099999999096326,1.40336600000000544242,
145,87158.30410853866487741470,87160.96404944633832201362,87160.96404944630921818316,37,0.09113299999999924239,0.23428900000000041359,59,37.10058600000002115848,1.90513300000000640466,
146,87158.90741424092266242951,87160.99448856635717675090,87161.02851572417421266437,37,0.10488700000000061863,0.34218800000000015871,62,36.56082800000012866803,0.83289999999999508873,
147,87159.00991228126804344356,87161.10606364310660865158,87161.10948450253636110574,41,0.12641299999999944248,0.13671700000000086561,63,43.45655499999998028215,1.15574499999999602551,
148,87159.02975649504514876753,87161.25333713066356722265,87161.25333713066356722265,37,0.11083500000000068297,0.11195099999999946760,68,42.99976900000001478475,1.78982499999995070539,
149,87159.36998787183256354183,87161.42204715793195646256,87161.42204715793195646256,38,0.10217099999999934568,0.22956399999999987926,67,47.24345799999991868390,1.56301700000000209911,
150,87160.17528950233827345073,87161.48085690563311800361,87161.48546362179331481457,38,0.12030899999999977723,0.39028500000000043713,66,42.52487900000005538459,1.00241299999999000647,
151,87160.36595037444203626364,87161.52535475170589052141,87161.52793917107919696718,38,0.11760800000000060095,0.22926800000000113755,72,42.54422399999998560816,1.05815200000000686487,
152,87160.38889557363290805370,87161.62608579911466222256,87161.62608579911466222256,38,0.11086200000000001609,0.17117200000000032389,69,46.51564400000006571645,1.84566100000000687942,
153,87160.48763728969788644463,87161.69229121434909757227,87161.69229121436364948750,38,0.11610099999999956566,0.17806799999999967099,69,45.65994399999999586726,1.24175000000002455636,
154,87160.48797801506589166820,87161.73515394658898003399,87161.73758769802225288004,41,0.12669300000000038864,0.06845200000000062346,66,42.43213900000000649015,1.35295600000000604268,
155,87160.52199972704693209380,87161.79380652694089803845,87161.79415457918366882950,40,0.11384400000000027831,0.15989900000000112357,74,49.23572299999977985863,1.45061099999998077692,
156,87160.54792588177951984107,87161.99065940885338932276,87161.99065940885338932276,38,0.09421099999999960062,0.18687500000000056843,69,53.44388299999991431832,2.73291699999998627391,
157,87161.01024009408138226718,87162.14636718764086253941,87162.14636718761175870895,40,0.11934100000000036346,0.31073100000000053456,69,45.91899200000034397817,1.66743200000001934313,
158,87161.03856689741951413453,87162.26593442767625674605,87162.26645075883425306529,38,0.11389599999999955315,0.23862499999999897682,68,49.14108699999997043051,2.14789400000000796354,
159,87161.08325468600378371775,87162.34392250084783881903,87162.34392250084783881903,39,0.12812999999999963308,0.22501399999999982526,69,52.31657199999972363003,1.81855799999999590000,
160,87161.15866656499565578997,87162.44217982240661513060,87162.44217982237751130015,37,0.09904500000000027171,0.39928199999999947067,62,42.81926400000020294101,1.82566700000000992077,
161,87161.16438113797630649060,87162.50300299917580559850,87162.50300299913214985281,38,0.12493100000000012528,0.11064199999999857482,67,50.17347900000004301546,1.42138399999998910062,
162,87161.19545721008034888655,87162.61371791790588758886,87162.61371791792043950409,37,0.15078800000000036619,0.25370400000000081775,67,53.14382900000009612995,1.86020200000001523222,
163,87161.22079945112636778504,87162.65199914788536261767,87162.65706785843940451741,37,0.11367899999999941940,0.27300500000000127443,71,50.65654799999992974335,1.02660699999995586040,
164,87161.26232602848904207349,87162.84458751129568554461,87162.84458751126658171415,39,0.15503700000000009140,0.15952400000000110936,73,57.60487999999986641342,1.80833899999998948260,
165,87161.52846361778210848570,87163.09129418912925757468,87163.09129418912925757468,35,0.10760400000000025500,0.39795999999999764896,62,55.70827800000006391201,2.42150400000002719025,
166,87161.59103379960288293660,87163.21400919531879480928,87163.21400919531879480928,37,0.09150599999999986522,0.20305699999999760053,68,58.74159099999997124542,2.03462600000000293221,
167,87161.74990019484539516270,87163.33620099531253799796,87163.33620099531253799796,38,0.17300399999999971357,0.30095500000000185992,76,55.11761299999989205389,1.94284500000003390596,
168,87161.74990019484539516270,87163.43167466142040211707,87163.43167466140585020185,35,0.12110700000000029775,0.05339200000000232649,68,55.43096900000000459841,2.15982600000000957152,
169,87162.10115014387702103704,87163.47527883959992323071,87163.47527883959992323071,38,0.09759899999999976927,0.28436100000000053001,75,61.48028999999996813131,2.35524399999997058330,
170,87162.45130157105450052768,87163.55511340250086504966,87163.55511340248631313443,36,0.06262800000000012801,0.36233400000000060004,71,61.43861900000001696753,2.64068000000003166861,
