mas284_presolved,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,total time gmic,total time vpc
170,86326.30872,86195.86303,86326.30872,23,0.014039,0.126175,0,0,0,8.835062,0.003407
171,86326.30875,86195.86303,86326.30875,23,0.014165,0.109837,0,0,0,8.959064,0.003407
172,86326.30881,86195.86303,86326.30881,22,0.013596,0.073485,0,0,0,9.046145,0.003407
173,86326.30889,86195.86303,86326.30889,22,0.013858,0.095088,0,0,0,9.155091,0.003407
174,86326.309,86195.86303,86326.309,23,0.014215,0.119833,0,0,0,9.289139,0.003407
175,86326.30906,86195.86303,86326.30906,24,0.014892,0.101101,0,0,0,9.405132,0.003407
176,86326.30909,86195.86303,86326.30909,22,0.014639,0.107008,0,0,0,9.526779,0.003407
177,86326.30912,86195.86303,86326.30912,23,0.015547,0.104405,0,0,0,9.646731,0.003407
178,86326.30928,86195.86303,86326.30928,22,0.014118,0.158374,0,0,0,9.819223,0.003407
179,86326.30917,86195.86303,86326.30917,22,0.014172,0.110023,0,0,0,9.943418,0.003407
180,86326.30928,86195.86303,86326.30928,24,0.015253,0.062642,0,0,0,10.021313,0.003407
181,86326.30939,86195.86303,86326.30939,22,0.014661,0.078387,0,0,0,10.114361,0.003407
182,86326.30944,86195.86303,86326.30944,24,0.01541,0.076591,0,0,0,10.206362,0.003407
183,86326.30948,86195.86303,86326.30948,23,0.015298,0.095792,0,0,0,10.317452,0.003407
184,86326.30947,86195.86303,86326.30947,23,0.014882,0.117929,0,0,0,10.450263,0.003407
185,86326.30961,86195.86303,86326.30961,24,0.016707,0.099596,0,0,0,10.566566,0.003407
186,86326.3098,86195.86303,86326.3098,22,0.015457,0.134808,0,0,0,10.716831,0.003407
187,86326.30994,86195.86303,86326.30994,22,0.015815,0.133356,0,0,0,10.866002,0.003407
188,86326.3099,86195.86303,86326.3099,22,0.015181,0.122175,0,0,0,11.003358,0.003407
189,86326.30999,86195.86303,86326.30999,23,0.015937,0.153045,0,0,0,11.17234,0.003407
190,86326.30997,86195.86303,86326.30997,23,0.015749,0.139589,0,0,0,11.327678,0.003407
191,86326.31004,86195.86303,86326.31004,24,0.017015,0.116173,0,0,0,11.460866,0.003407
192,86326.3102,86195.86303,86326.3102,22,0.016698,0.111504,0,0,0,11.589068,0.003407
193,86326.31026,86195.86303,86326.31026,22,0.015681,0.077438,0,0,0,11.682187,0.003407
194,86326.31066,86195.86303,86326.31066,22,0.015616,0.0916,0,0,0,11.789403,0.003407
195,86326.31056,86195.86303,86326.31056,20,0.014339,0.119684,0,0,0,11.923426,0.003407
196,86326.31108,86195.86303,86326.31108,23,0.016524,0.123811,0,0,0,12.063761,0.003407
