bm23,bound_gmic,bound_vpc,bound_all_cuts,num_gmic,gmic_gen_time,gmic_apply_time,num_vpc,vpc_gen_time,vpc_apply_time,
492,24.68335522692835937164,20.57092176323557097817,24.68335522692835937164,10,0.00230300000000005500,0.09923699999999957555,0,0.00000000000000000000,0.00000000000000000000,
493,24.68335484302260596223,20.57092176323557097817,24.68335484302260596223,10,0.00237299999999995848,0.09464499999999986812,0,0.00000000000000000000,0.00000000000000000000,
494,24.68335556589499191205,20.57092176323557097817,24.68335556589499191205,9,0.00207600000000007778,0.25152099999999943947,0,0.00000000000000000000,0.00000000000000000000,
495,24.68335521204797089467,20.57092176323557097817,24.68335521204797089467,10,0.00335699999999994336,0.05375599999999991496,0,0.00000000000000000000,0.00000000000000000000,
496,24.68335636264099264281,20.57092176323557097817,24.68335636264099264281,8,0.00183100000000002705,0.01551999999999953417,0,0.00000000000000000000,0.00000000000000000000,
497,24.68335524855102747210,20.57092176323557097817,24.68335524855102747210,8,0.00220699999999995899,0.07428900000000027148,0,0.00000000000000000000,0.00000000000000000000,
498,24.68335587641713146922,20.57092176323557097817,24.68335587641713146922,8,0.00182100000000007256,0.04878899999999930515,0,0.00000000000000000000,0.00000000000000000000,
499,24.68335534835610900473,20.57092176323557097817,24.68335534835610900473,10,0.00262699999999993494,0.15665799999999929781,0,0.00000000000000000000,0.00000000000000000000,
500,24.68335534544267773072,20.57092176323557097817,24.68335534544267773072,9,0.00230500000000000149,0.09302999999999972403,0,0.00000000000000000000,0.00000000000000000000,
501,24.68335532053001557529,20.57092176323557097817,24.68335532053001557529,10,0.00228300000000003500,0.04811100000000045895,0,0.00000000000000000000,0.00000000000000000000,
502,24.68335562896615797968,20.57092176323557097817,24.68335562896615797968,9,0.00209999999999999076,0.02855999999999969674,0,0.00000000000000000000,0.00000000000000000000,
503,24.68335575088214639550,20.57092176323557097817,24.68335575088214639550,10,0.00214000000000003077,0.02167599999999936244,0,0.00000000000000000000,0.00000000000000000000,
504,24.68335603236139874639,20.57092176323557097817,24.68335603236139874639,9,0.00212899999999993650,0.01843099999999964211,0,0.00000000000000000000,0.00000000000000000000,
505,24.68335589083590164705,20.57092176323557097817,24.68335589083590164705,10,0.00215500000000001801,0.03243099999999987659,0,0.00000000000000000000,0.00000000000000000000,
506,24.68335572003362798910,20.57092176323557097817,24.68335572003362798910,7,0.00173900000000004606,0.05651500000000009294,0,0.00000000000000000000,0.00000000000000000000,
507,24.68335564742939425287,20.57092176323557097817,24.68335564742939425287,9,0.00231899999999995998,0.06221099999999957220,0,0.00000000000000000000,0.00000000000000000000,
508,24.68335721482635491952,20.57092176323557097817,24.68335721482635491952,10,0.00247699999999995146,0.04819399999999962603,0,0.00000000000000000000,0.00000000000000000000,
509,24.68335594752023354204,20.57092176323557097817,24.68335594752023354204,9,0.00208500000000000352,0.23880600000000029581,0,0.00000000000000000000,0.00000000000000000000,
510,24.68335603651527776492,20.57092176323557097817,24.68335603651527776492,9,0.00281600000000004069,0.03039600000000053370,0,0.00000000000000000000,0.00000000000000000000,
511,24.68335574282441768901,20.57092176323557097817,24.68335574282441768901,9,0.00203200000000003378,0.03728300000000039915,0,0.00000000000000000000,0.00000000000000000000,
512,24.68335647064250792937,20.57092176323557097817,24.68335647064250792937,8,0.00188199999999993928,0.02713300000000007373,0,0.00000000000000000000,0.00000000000000000000,
513,24.68335701846485008559,20.57092176323557097817,24.68335701846485008559,10,0.00238599999999999923,0.05885400000000018395,0,0.00000000000000000000,0.00000000000000000000,
514,24.68335639748058696341,20.57092176323557097817,24.68335639748058696341,8,0.00194199999999999928,0.04933600000000026853,0,0.00000000000000000000,0.00000000000000000000,
515,24.68335637605349930368,20.57092176323557097817,24.68335637605349930368,10,0.00250800000000006573,0.03941100000000030690,0,0.00000000000000000000,0.00000000000000000000,
516,24.68335856726987032062,20.57092176323557097817,24.68335856726987032062,9,0.00205299999999997151,0.03823099999999968190,0,0.00000000000000000000,0.00000000000000000000,
517,24.68335737889889713870,20.57092176323557097817,24.68335737889889713870,10,0.00238000000000004874,0.06245300000000142404,0,0.00000000000000000000,0.00000000000000000000,
518,24.68335718181956295325,20.57092176323557097817,24.68335718181956295325,7,0.00221799999999994224,0.02732400000000012597,0,0.00000000000000000000,0.00000000000000000000,
519,24.68335809152435444958,20.57092176323557097817,24.68335809152435444958,7,0.00169399999999997330,0.02875099999999974898,0,0.00000000000000000000,0.00000000000000000000,
520,24.68335796430303474835,20.57092176323557097817,24.68335796430303474835,9,0.00207500000000004903,0.03787200000000012778,0,0.00000000000000000000,0.00000000000000000000,
521,24.68335788793500640281,20.57092176323557097817,24.68335788793500640281,10,0.00246999999999997222,0.03957999999999906038,0,0.00000000000000000000,0.00000000000000000000,
522,24.68335808639353246008,20.57092176323557097817,24.68335808639353246008,9,0.00222699999999997900,0.02877699999999983049,0,0.00000000000000000000,0.00000000000000000000,
523,24.68335827473783439245,20.57092176323557097817,24.68335827473783439245,10,0.00304000000000004267,0.02829700000000023863,0,0.00000000000000000000,0.00000000000000000000,
524,24.68335966556507798941,20.57092176323557097817,24.68335966556507798941,9,0.00216600000000000126,0.02346299999999956754,0,0.00000000000000000000,0.00000000000000000000,
525,24.68335950875156115103,20.57092176323557097817,24.68335950875156115103,8,0.00284600000000001518,0.06101899999999993440,0,0.00000000000000000000,0.00000000000000000000,
526,24.68336053659830753304,20.57092176323557097817,24.68336053659830753304,9,0.00277199999999999669,0.02819299999999991257,0,0.00000000000000000000,0.00000000000000000000,
527,24.68335989872650770849,20.57092176323557097817,24.68335989872650770849,8,0.00240200000000001523,0.09784500000000129205,0,0.00000000000000000000,0.00000000000000000000,
528,24.68336062427333743585,20.57092176323557097817,24.68336062427333743585,10,0.00251299999999998747,0.02844699999999988904,0,0.00000000000000000000,0.00000000000000000000,
529,24.68336043762854714601,20.57092176323557097817,24.68336043762854714601,9,0.00214799999999992774,0.04529600000000044702,0,0.00000000000000000000,0.00000000000000000000,
530,24.68336125446447226750,20.57092176323557097817,24.68336125446447226750,10,0.00288900000000003043,0.03252699999999997260,0,0.00000000000000000000,0.00000000000000000000,
531,24.68336153235219754265,20.57092176323557097817,24.68336153235219754265,9,0.00257200000000001872,0.03112699999999968270,0,0.00000000000000000000,0.00000000000000000000,
532,24.68336170060371514978,20.57092176323557097817,24.68336170060371514978,9,0.00262200000000001321,0.02149299999999954025,0,0.00000000000000000000,0.00000000000000000000,
533,24.68336152383255921450,20.57092176323557097817,24.68336152383255921450,10,0.00265099999999995894,0.06277399999999921931,0,0.00000000000000000000,0.00000000000000000000,
534,24.68336184372119745944,20.57092176323557097817,24.68336184372119745944,9,0.00219599999999997575,0.04857399999999856277,0,0.00000000000000000000,0.00000000000000000000,
535,24.68336198031206407677,20.57092176323557097817,24.68336198031206407677,9,0.00216100000000007952,0.02872400000000041587,0,0.00000000000000000000,0.00000000000000000000,
536,24.68336232693931719950,20.57092176323557097817,24.68336232693931719950,9,0.00264500000000000846,0.07071999999999967201,0,0.00000000000000000000,0.00000000000000000000,
537,24.68336271870476750223,20.57092176323557097817,24.68336271870476750223,10,0.00257699999999994045,0.02739699999999878344,0,0.00000000000000000000,0.00000000000000000000,
538,24.68336306216784947765,20.57092176323557097817,24.68336306216784947765,10,0.00261000000000000121,0.02525999999999939405,0,0.00000000000000000000,0.00000000000000000000,
539,24.68336326427225557723,20.57092176323557097817,24.68336326427225557723,9,0.00232200000000004625,0.03131600000000034356,0,0.00000000000000000000,0.00000000000000000000,
540,24.68336384240732783724,20.57092176323557097817,24.68336384240732783724,10,0.00258199999999997321,0.03401900000000068758,0,0.00000000000000000000,0.00000000000000000000,
541,24.68336310887121953783,20.57092176323557097817,24.68336310887121953783,10,0.00288800000000000168,0.05904100000000056525,0,0.00000000000000000000,0.00000000000000000000,
542,24.68336410546955761447,20.57092176323557097817,24.68336410546955761447,9,0.00237100000000001199,0.05731100000000033390,0,0.00000000000000000000,0.00000000000000000000,
543,24.68336392628770425972,20.57092176323557097817,24.68336392628770425972,10,0.00240499999999999048,0.05884799999999934528,0,0.00000000000000000000,0.00000000000000000000,
